Id,SalePrice
1461,84566.8
1462,597359.0
1463,172418.5
1464,204474.75
1465,185332.27
1466,192919.78
1467,113987.81
1468,183166.31
1469,188929.25
1470,111705.92
1471,112231.06
1472,96418.586
1473,104756.26
1474,126963.336
1475,121203.266
1476,300187.44
1477,217634.25
1478,236559.88
1479,238289.16
1480,423205.66
1481,324487.88
1482,201614.94
1483,176927.78
1484,167495.25
1485,223568.66
1486,213930.28
1487,262485.97
1488,261347.45
1489,157692.81
1490,241100.53
1491,205704.7
1492,77032.92
1493,101372.914
1494,362721.3
1495,296533.6
1496,217822.03
1497,145350.72
1498,109435.67
1499,109659.33
1500,124636.96
1501,212334.22
1502,135574.19
1503,169642.66
1504,259122.42
1505,223794.84
1506,198947.3
1507,294299.0
1508,196547.89
1509,160166.55
1510,160042.7
1511,129703.9
1512,166244.84
1513,156139.7
1514,95168.39
1515,181840.62
1516,135055.8
1517,146530.11
1518,154873.16
1519,164723.38
1520,102264.64
1521,139887.19
1522,213455.1
1523,118140.85
1524,156659.25
1525,104962.54
1526,159655.66
1527,176857.83
1528,92482.3
1529,152435.42
1530,123012.664
1531,121352.17
1532,58618.65
1533,121266.664
1534,109598.984
1535,119819.05
1536,121675.14
1537,45815.03
1538,107414.45
1539,188724.47
1540,66446.57
1541,158910.16
1542,73824.07
1543,153502.78
1544,52772.844
1545,81876.21
1546,145204.31
1547,63770.906
1548,122909.086
1549,101836.39
1550,118702.586
1551,120256.05
1552,124887.5
1553,112460.65
1554,122683.42
1555,205744.78
1556,44098.9
1557,60820.75
1558,85817.11
1559,53693.22
1560,79955.61
1561,57833.477
1562,118757.08
1563,168750.0
1564,142295.67
1565,115176.234
1566,171589.78
1567,101177.125
1568,183780.97
1569,113955.11
1570,178381.62
1571,97509.055
1572,157140.78
1573,174313.05
1574,92919.31
1575,127577.516
1576,236028.72
1577,167199.44
1578,168818.12
1579,71968.68
1580,202864.66
1581,121177.35
1582,130415.44
1583,285198.4
1584,246988.28
1585,134952.69
1586,33547.508
1587,107003.836
1588,147051.97
1589,82259.875
1590,141729.34
1591,77448.75
1592,71336.03
1593,187546.47
1594,21821.0
1595,112818.8
1596,160265.1
1597,181311.9
1598,201161.95
1599,137080.94
1600,117060.94
1601,53978.645
1602,97835.516
1603,52492.125
1604,158482.4
1605,281887.3
1606,111488.2
1607,155701.9
1608,193612.9
1609,173420.72
1610,171178.03
1611,144340.33
1612,168105.22
1613,188989.88
1614,101145.3
1615,83925.19
1616,86232.3
1617,98355.7
1618,100936.805
1619,140902.78
1620,98388.66
1621,125580.2
1622,134630.23
1623,162370.42
1624,210172.4
1625,138279.5
1626,174739.7
1627,205706.62
1628,309187.2
1629,148773.56
1630,451900.0
1631,318944.5
1632,267887.84
1633,188487.88
1634,199337.44
1635,199150.97
1636,159942.06
1637,172871.22
1638,203137.52
1639,191834.88
1640,301146.75
1641,214040.7
1642,178238.7
1643,183037.83
1644,203702.48
1645,146073.17
1646,127293.71
1647,163676.36
1648,136460.66
1649,145046.11
