Id,SalePrice
1461,121294.086
1462,141642.39
1463,158256.0
1464,171774.92
1465,179569.58
1466,156441.58
1467,166203.75
1468,150513.11
1469,178560.14
1470,125221.695
1471,162432.86
1472,104767.625
1473,89183.734
1474,135373.02
1475,124052.3
1476,251882.33
1477,217057.56
1478,236602.2
1479,217610.8
1480,294486.34
1481,240337.52
1482,184123.23
1483,169056.55
1484,158291.02
1485,191186.52
1486,195005.77
1487,230005.45
1488,201632.23
1489,185791.78
1490,196719.17
1491,174370.69
1492,78981.52
1493,172172.06
1494,230952.44
1495,224089.66
1496,188946.02
1497,163203.22
1498,149829.88
1499,164350.98
1500,135483.33
1501,161448.75
1502,158905.86
1503,232609.28
1504,209983.86
1505,197805.36
1506,163136.23
1507,200360.8
1508,183882.8
1509,159659.11
1510,135558.58
1511,144087.14
1512,154975.92
1513,129446.29
1514,161657.94
1515,143094.6
1516,160684.39
1517,156615.75
1518,131871.75
1519,194417.44
1520,126559.97
1521,135273.52
1522,160403.19
1523,105334.1
1524,118136.23
1525,133781.73
1526,109098.83
1527,86757.1
1528,141025.5
1529,138287.53
1530,188717.44
1531,96238.586
1532,100182.7
1533,144752.16
1534,128768.32
1535,132385.72
1536,102087.92
1537,45166.348
1538,158054.4
1539,171882.2
1540,115142.25
1541,139393.38
1542,142431.88
1543,169883.52
1544,86332.89
1545,127018.21
1546,137529.48
1547,127093.93
1548,137534.34
1549,131567.31
1550,127068.95
1551,121874.91
1552,101944.5
1553,145213.44
1554,128385.87
1555,144009.78
1556,92275.94
1557,101512.93
1558,142748.28
1559,83705.83
1560,119974.58
1561,116970.164
1562,118572.95
1563,117640.26
1564,155759.02
1565,149050.58
1566,218794.12
1567,77103.06
1568,217582.8
1569,128462.33
1570,132015.38
1571,102322.01
1572,151548.58
1573,188519.25
1574,113730.83
1575,208991.47
1576,193809.17
1577,170891.75
1578,132036.03
1579,141595.12
1580,188824.2
1581,131385.86
1582,117560.01
1583,232574.52
1584,189745.05
1585,145113.2
1586,73358.88
1587,99078.555
1588,155010.89
1589,108252.31
1590,137168.08
1591,81393.83
1592,122380.31
1593,136451.6
1594,125851.09
1595,116683.43
1596,206058.4
1597,184769.5
1598,226568.69
1599,172931.7
1600,162067.2
1601,32606.643
1602,116221.234
1603,41851.914
1604,221170.11
1605,203234.19
1606,147061.27
1607,167510.14
1608,189329.92
